Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show, Short, Comedy, Fantasy, 12 , George Miller,Zeeq,Artemis Holdenberry,Bloody Hairy,9.9
Game of Thrones, Adventure, Drama, Fantasy, 56 , Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,9.5
Breaking Bad, Crime, Drama, Thriller, 49 , Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,9.5
The Wire, Crime, Drama, Thriller, 59 , Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,9.4
TVF Pitchers, Comedy, Drama, 40 , Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan,9.4
Rick and Morty, Animation, Adventure, Comedy, 22 , Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,9.3
Sherlock, Crime, Drama, Mystery, 88 , Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,9.2
The Sopranos, Crime, Drama, 55 , James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,9.2
Avatar: The Last Airbender, Animation, Action, Adventure, 23 , Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena,9.2
Leyla ile Mecnun, Adventure, Comedy, Drama, 80 , Ali Atay,Cengiz Bozkurt,Serkan Keskin,Osman Sonant,9.2
Sarabhai vs Sarabhai, Comedy, 30 , Satish Shah,Ratna Pathak,Sumeet Raghvan,Rupali Ganguly,9.2
Taboo, Drama, 59 , Tom Hardy,David Hayman,Jonathan Pryce,Oona Chaplin,9.1
Westworld, Drama, Mystery, Sci-Fi, 60 , Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandie Newton,9.1
True Detective, Crime, Drama, Mystery, 55 , Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,9.1
Firefly, Adventure, Drama, Sci-Fi, 44 , Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,9.1
Last Week Tonight with John Oliver, Comedy, News, Talk-Show, 30 , John Oliver,David Kaye,Noel MacNeal,Paul McGinnis,9.1
One Punch Man: Wanpanman, Animation, Action, Comedy, 24 , Max Mittelman,Makoto Furukawa,Kaito Ishikawa,Zach Aguilar,9.1
Hagane no renkinjutsushi, Animation, Action, Adventure, 24 , Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Pak,9.1
Stranger Things, Drama, Fantasy, Horror, 55 , Winona Ryder,David Harbour,Finn Wolfhard,Millie Bobby Brown,9.0
House of Cards, Drama, 51 , Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,9.0
Friends, Comedy, Romance, 22 , Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,9.0
The Grand Tour, Comedy, Talk-Show, 71 , Jeremy Clarkson,Richard Hammond,James May,Mike Skinner,9.0
Fargo, Crime, Drama, Thriller, 53 , Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,9.0
Skam, Drama, 30 , Josefine Frida Pettersen,Iman Meskini,Lisa Teige,Tarjei Sandvik Moe,9.0
Arrested Development, Comedy, 22 , Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,9.0
The Twilight Zone, Fantasy, Horror, Mystery, 51 , Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,9.0
Death Note: Desu nôto, Animation, Crime, Drama, 24 , Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,9.0
Batman: The Animated Series, Animation, Action, Adventure, 23 , Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,9.0
Kaubôi bibappu, Animation, Action, Adventure, 24 , Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,9.0
Black Mirror, Drama, Sci-Fi, Thriller, 60 , Chris Martin Hill,Hannah John-Kamen,Beatrice Robertson-Jones,Paul Blackwell,8.9
This Is Us, Comedy, Drama, 45 , Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,8.9
The Crown, Drama, History, 52 , Claire Foy,Matt Smith,Vanessa Kirby,Jeremy Northam,8.9
Narcos, Biography, Crime, Drama, 49 , Wagner Moura,Boyd Holbrook,Pedro Pascal,Paulina Gaitan,8.9
Twin Peaks, Crime, Drama, Mystery, 47 , Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,8.9
Seinfeld, Comedy, 22 , Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,8.9
Freaks and Geeks, Comedy, Drama, 44 , Linda Cardellini,John Francis Daley,James Franco,Samm Levine,8.9
Gravity Falls, Animation, Adventure, Comedy, 23 , Jason Ritter,Kristen Schaal,Alex Hirsch,Linda Cardellini,8.9
Only Fools and Horses...., Comedy, 95 , David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,8.9
Hunter x Hunter, Animation, Action, Adventure, 24 , Megumi Han,Mariya Ise,Issei Futamata,Daisuke Namikawa,8.9
Monty Python's Flying Circus, Comedy, 30 , Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,8.9
The Return of Sherlock Holmes, Crime, Drama, Mystery, 60 , Jeremy Brett,Edward Hardwicke,Rosalie Williams,Colin Jeavons,8.9
Kardes Payi, Comedy, Drama, Family, 70 , Ahmet Kural,Murat Cemcir,Seda Bakan,Emrah Kaman,8.9
Pod prikritie, Action, Crime, Drama, 60 , Vladimir Penev,Zachary Baharov,Lyuben Kanev,Marian Valev,8.9
It's Always Sunny in Philadelphia, Comedy, 22 , Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,8.8
Peaky Blinders, Crime, Drama, 60 , Cillian Murphy,Paul Anderson,Joe Cole,Helen McCrory,8.8
Doctor Who, Adventure, Drama, Family, 45 , Peter Capaldi,Jenna Coleman,Matt Smith,David Tennant,8.8
The Office, Comedy, 22 , Rainn Wilson,John Krasinski,Jenna Fischer,Leslie David Baker,8.8
Dexter, Crime, Drama, Mystery, 53 , Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,8.8
Daredevil, Action, Crime, Drama, 54 , Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,8.8
House M.D., Drama, Mystery, 44 , Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,8.8
